# Created with https://www.mockaroo.com.

id,city,date,grocery,value01,amount
1,Jiangyou,1920-12-08,Soup - Campbells Asian Noodle,-17622.88,722076
2,Shreveport,1914-08-31,Dc - Sakura Fu,-9484.85,505130
3,Fusheng,1935-08-12,Salmon Steak - Cohoe 8 Oz,-95978.89,95406
4,Arnoia,1987-08-16,Plums - Red,-39331.78,856835
5,Neópolis,1933-01-08,Wine - Guy Sage Touraine,30903.36,-996302
6,Ponikiew,1946-05-18,Milk - Chocolate 250 Ml,4866.46,-530593
7,Manganitu,2003-01-19,"Shrimp - Baby, Cold Water",36703.09,-633897
8,Matai,1963-12-06,Stainless Steel Cleaner Vision,-66180.15,819210
9,Ubon Ratchathani,1903-03-18,"Radish - Black, Winter, Organic",11095.26,-766276
10,Nangong,1972-06-12,Wiberg Super Cure,-55217.46,846425
11,Wangcun,1944-07-25,"Lobster - Baby, Boiled",47919.08,641678
12,Centenario,1947-05-01,Bread - Calabrese Baguette,-39294.66,-288480
13,Orlu,2017-06-12,Pastry - Apple Large,-49644.61,523460
14,Roche Terre,1994-10-29,"Crab - Back Fin Meat, Canned",23478.92,-20610
15,Kruhlaye,1937-08-25,Wine - Kwv Chenin Blanc South,31279.55,188900
16,Ferrol,1938-01-13,Ham Black Forest,58565.64,-787903
17,Melaka,1949-03-19,Taro Root,-532.67,-609245
18,Tokarnia,1985-08-15,Cake - Cake Sheet Macaroon,-18614.09,-745534
19,Solnechnyy,1999-06-06,Grand Marnier,15360.83,625821
20,Al Nashmah,1958-07-30,Dish Towel,55496.36,-394906
21,Helmas,1977-11-10,Celery Root,-19584.78,137254
22,Talisay,2001-10-23,Sour Puss Raspberry,-23233.94,-711680
23,Verdizela,1903-06-25,Beef Ground Medium,-88054.12,-548473
24,Nový Malín,1997-05-24,Food Colouring - Blue,69087.6,-456220
25,Lin’an,1909-05-18,Sprouts - Corn,-17296.56,171194
26,Tabon,1957-08-11,Cucumber - English,71092.04,946963
27,Mauhao,2018-03-13,Wine - Blue Nun Qualitatswein,58002.9,-832410
28,Lobito,1927-10-26,Chambord Royal,-17350.49,501139
29,Itanhandu,1952-11-24,Oven Mitts 17 Inch,38843.73,519035
30,Farriar,1901-03-02,"Coffee - Colombian, Portioned",30966.99,434414
31,Mayahi,1956-02-08,Lettuce - Arugula,72148.35,-587583
32,Saratov,1962-02-05,"Veal - Shank, Pieces",95928.71,801247
33,Karangmelok,1952-09-02,Tea - Earl Grey,23183.5,899923
34,Holguín,1980-10-13,Veal - Ground,-62059.13,-482258
35,El Potrero,1948-08-13,Bread - Petit Baguette,42351.94,-4800
36,Sundbyberg,1935-09-06,Bay Leaf,49279.28,-370004
37,Holice,1940-12-13,Cups 10oz Trans,71382.55,33997
38,Kalashnikovo,1924-03-20,"Melon - Watermelon, Seedless",-52982.17,-830361
39,Giesteira,1979-11-04,Bread Base - Toscano,-40869.73,-904067
40,Cigadog Hilir,1924-04-11,Sorrel - Fresh,39745.98,-962012
41,Dasuk,1972-07-07,Cake - Sheet Strawberry,34693.0,-326083
42,Nóvita,1909-09-27,"Bread - Roll, Canadian Dinner",51309.28,392022
43,Khorixas,1917-11-09,Straw - Regular,-82768.22,-945140
44,Changzhi,2018-05-07,Five Alive Citrus,-81253.56,-109760
45,Rettikhovka,1983-06-27,Ecolab - Hobart Washarm End Cap,28652.96,740618
46,Huanggang,1911-10-12,Coffee - Egg Nog Capuccino,13446.05,-217645
47,Trần Văn Thời,2015-11-16,Wine - Periguita Fonseca,-4556.41,-854296
48,Constanza,2014-06-12,Rolled Oats,32990.84,160314
49,Konëvo,1997-10-18,Onions - Vidalia,-85110.19,714414
50,Madrid,2020-03-18,Lettuce - Curly Endive,28968.5,611805
51,Lampa,1905-07-16,"Pepper - White, Whole",76833.46,19557
52,Wuyang,1954-12-31,Cheese - Mix,30684.39,-242624
53,Al Marj,2011-06-05,Nantucket Cranberry Juice,18587.77,-10108
54,Shani,2014-10-22,Vinegar - Cider,20531.86,-296118
55,Karanggedang,2015-04-18,Bread Cranberry Foccacia,65238.06,-299412
56,Sibinal,1946-06-06,Squeeze Bottle,-37802.61,-526834
57,Strohonivka,1987-10-22,Catfish - Fillets,-14301.55,-107260
58,San Remigio,1970-04-14,Wine - Pinot Noir Pond Haddock,-33551.43,-940972
59,Annaka,1938-11-22,Wine - Chateau Timberlay,-4101.47,-521998
60,Siay,1928-07-10,"Mushroom - Trumpet, Dry",8404.12,585684
61,Libu,1969-06-28,"Fish - Atlantic Salmon, Cold",-19687.1,740764
62,Quimper,1901-03-21,"Wine - Red, Pelee Island Merlot",67522.14,118125
63,Quanling,1938-06-07,Cheese - Goat,79542.68,-335368
64,Zepita,1997-08-13,Laundry - Bag Cloth,11712.4,-574882
65,Palopo,1955-06-11,Wine - Alicanca Vinho Verde,-30698.33,-435096
66,Janakpur,2017-03-20,Ginger - Crystalized,-57551.21,450
67,Codoi,2017-04-01,"Vermacelli - Sprinkles, Assorted",7598.77,243937
68,Piekielnik,1967-02-28,Dip - Tapenade,-86920.02,-293996
69,Sarrebourg,1971-10-25,Grapes - Red,-25081.06,28351
70,Youkaichi,1907-09-08,Bagel - Plain,-8449.11,-982116
71,Krasnyy Oktyabr’,2015-07-02,Corn - On The Cob,-43983.66,602381
72,Přibyslav,2009-04-10,Banana - Leaves,77254.08,-532708
73,Thị Trấn Cao Phong,1921-09-30,Pork - European Side Bacon,-59415.91,-727508
74,Santa Elena,1998-02-13,Wine - Magnotta - Pinot Gris Sr,80359.93,213849
75,Nancaicun,1911-10-22,"Beef - Ox Tongue, Pickled",62405.26,-467757
76,Venda do Valador,2012-03-08,Tea Leaves - Oolong,-90074.79,-381961
77,Qiling,1924-05-28,Puff Pastry - Slab,17155.83,-202530
78,James Craik,1953-10-14,Tea - Herbal I Love Lemon,-94476.03,-577415
79,Forécariah,1959-12-06,Wooden Mop Handle,-21340.88,-726437
80,Santa Helena de Goiás,1976-06-29,Beer - Upper Canada Lager,86067.79,960442
81,San Roque,1950-07-18,Rappini - Andy Boy,48701.42,103018
82,Sanhe,1906-01-31,Lid - 0090 Clear,67564.94,315937
83,Wintzenheim,2018-09-07,"Wine - White, Concha Y Toro",19557.66,11968
84,Millau,1942-08-03,Breakfast Quesadillas,70783.66,806223
85,Zhuxi,2018-10-11,"Tart Shells - Sweet, 4",94086.5,758312
86,Greytown,1982-09-19,Cheese - Fontina,-44085.69,-798346
87,Pyrgetós,1953-04-13,Flavouring Vanilla Artificial,-34988.76,719093
88,Heshang,1975-10-05,Beer - Fruli,-96583.55,-586179
89,Novoselë,1927-08-24,"Pasta - Canelloni, Single Serve",63794.48,-471307
90,Stockholm,1947-02-27,Oil - Sunflower,44462.2,312282
91,Zheshart,2019-01-19,Octopus,34878.64,-872120
92,Corumbá,1992-09-06,Wine - Maipo Valle Cabernet,-96934.62,727667
93,Pasongsongan,1970-02-15,Beef Dry Aged Tenderloin Aaa,31938.16,285947
94,Rongelap,1925-10-08,Tomato - Plum With Basil,-67343.55,-998515
95,Akron,1922-09-23,"Coke - Classic, 355 Ml",-92981.0,919
96,Baokou,1965-01-27,Tea - Orange Pekoe,-3657.27,-102680
97,Moriguchi,1929-11-06,Tomatoes Tear Drop,7390.62,-741726
